epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,937.21,1.54614,2.73721,1.76148,0.40843,0.41529,0.38113,0.16973,1.90596,2.35821,2.13089,0.00999724,0.00333241,0.00999724,0.00333241,0.00999724,0.00333241,0.00999724,0.00333241
2,1781.52,1.56907,2.19009,1.78107,0.49765,0.47486,0.4526,0.21992,1.82535,2.09838,2.00352,0.0192053,0.00640178,0.0192053,0.00640178,0.0192053,0.00640178,0.0192053,0.00640178
3,2480.66,1.63075,2.14071,1.84015,0.39543,0.47613,0.39421,0.18909,1.92777,2.23964,2.12579,0.0276215,0.00920715,0.0276215,0.00920715,0.0276215,0.00920715,0.0276215,0.00920715
4,3178.71,1.61982,2.07287,1.84041,0.57492,0.49735,0.51006,0.25957,1.76696,1.97563,1.99452,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
5,3873.17,1.53735,1.90238,1.77463,0.67719,0.54161,0.59138,0.32691,1.64691,1.81088,1.85431,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
6,4569.86,1.48094,1.7636,1.72064,0.6816,0.61694,0.65749,0.36369,1.62734,1.67982,1.8133,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
7,5267.62,1.4304,1.66556,1.6818,0.7302,0.6207,0.65782,0.37499,1.58911,1.59895,1.78523,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
8,5962.81,1.39487,1.58677,1.65065,0.7635,0.60966,0.69056,0.4052,1.54379,1.48723,1.73436,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
9,6651.45,1.3664,1.51699,1.61924,0.74073,0.65003,0.70707,0.40378,1.51467,1.44081,1.70029,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
10,7338.66,1.33597,1.45007,1.58887,0.76388,0.65292,0.7259,0.42523,1.45108,1.38773,1.64665,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
11,8026.87,1.31342,1.39145,1.56911,0.7856,0.68205,0.7412,0.44712,1.41718,1.32808,1.60884,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
12,8711.84,1.28491,1.34254,1.54592,0.79159,0.71864,0.77543,0.47514,1.38524,1.24593,1.58373,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
13,9399.7,1.26421,1.30114,1.52746,0.7846,0.74884,0.78117,0.48227,1.39085,1.18924,1.57634,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
14,10080.5,1.24661,1.26243,1.51393,0.80098,0.7185,0.78249,0.48679,1.37079,1.1893,1.56038,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
15,10759.4,1.22488,1.22408,1.49326,0.81423,0.75817,0.80121,0.49573,1.33123,1.11151,1.5328,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
16,11380.6,1.22583,0.98628,1.57857,0.81102,0.75886,0.80667,0.5158,1.31147,1.06786,1.50135,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
17,12002.7,1.17519,0.90695,1.53051,0.84025,0.76213,0.82059,0.52799,1.2933,1.01793,1.48686,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
18,12625.5,1.13828,0.85499,1.49521,0.85526,0.74155,0.82233,0.53319,1.27705,0.97509,1.47614,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
19,13249.4,1.09915,0.80889,1.46088,0.83757,0.77653,0.82559,0.53566,1.2618,0.94026,1.46159,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
20,13874.7,1.06899,0.76457,1.42957,0.81694,0.78157,0.82128,0.54071,1.25585,0.92364,1.45562,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
21,14500.3,1.02733,0.72487,1.40163,0.82931,0.785,0.82751,0.5457,1.24585,0.91177,1.45559,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
22,15126.5,1.00449,0.69078,1.37402,0.85317,0.78737,0.83609,0.54817,1.24047,0.9049,1.45615,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
23,15751.8,0.97662,0.65858,1.34932,0.8497,0.78753,0.83481,0.5467,1.24693,0.89042,1.46528,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
24,16375.7,0.94844,0.63122,1.32584,0.85528,0.80388,0.84322,0.54748,1.24329,0.88277,1.46404,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
25,17002.6,0.92063,0.60561,1.2992,0.84312,0.82112,0.84665,0.54868,1.24046,0.87691,1.46518,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
